37	-27	21	25	32	49
33	5	12	-36	26	15
16	17	-36	31	-6	24
38	2	9	87	-19	30
36	14	-25	8	-33	-2
-38	-17	-7	11	-1	12
-6	-40	-18	-45	-5	-46
26	21	5	-18	37	-32
-9	-38	11	10	-12	-10
-14	-4	-34	6	33	20
13	15	42	-5	45	-39
10	-39	-27	-42	0	0
18	22	-25	19	35	-45
23	0	-26	19	-8	10
-54	6	-44	-12	-35	-7
-11	23	22	-25	-21	-17
-8	0	33	36	-38	-1
-24	-33	42	-18	-30	20
-16	46	-43	29	-7	20
-22	35	-27	12	19	6
-45	-10	14	3	-34	35
-41	23	0	26	-21	41
16	-21	-5	-17	9	47
-31	5	11	-9	19	27
-22	-40	-45	49	-13	21
42	14	-24	48	-8	-2
-25	35	-42	27	20	20
43	28	12	-37	-34	18
-41	19	11	30	29	-15
-35	3	8	2	21	-3
36	-40	-5	-36	26	-47
29	42	38	-28	-22	33
12	-41	0	-20	21	-8
-22	85	-40	40	-25	34
-23	37	-42	24	48	-30
13	-26	-23	-43	15	27
-29	22	-41	-54	3	-22
-19	34	-34	-26	1	10
-9	29	4	-22	-28	2
-9	29	-34	49	-16	-44
41	-1	43	42	-48	6
13	12	34	-28	16	33
38	48	-5	-37	-20	-41
36	13	42	6	-15	-2
-18	-48	-9	-14	46	30
32	-46	36	11	4	45
-15	-23	-42	-14	-15	67
-5	47	4	-7	-31	-7
-18	-23	15	1	-49	-38
-5	7	42	48	-1	-7
-29	15	-43	35	-33	-19
11	48	-45	-11	0	-27
17	14	15	2	-21	8
43	-11	-27	30	21	15
39	-1	-71	44	-1	-36
45	-23	-15	-27	-7	-18
17	-24	6	9	-36	10
-63	-8	33	10	27	42
18	22	4	-15	47	-32
-17	-43	8	17	68	-8
10	-29	-17	3	10	5
-30	23	75	-62	25	48
41	34	-36	-5	29	-20
7	41	-44	-23	-44	17
-8	-33	37	37	-4	9
12	-17	16	7	64	-1
-29	29	33	-14	11	26
36	-45	25	-29	18	29
34	34	-34	-4	18	44
-29	-47	-8	-46	-42	42
41	-41	-34	-23	-20	-46
-48	-37	40	-7	-46	-37
28	-9	-19	31	-9	-3
27	-95	27	-32	6	-32
-48	22	-49	0	-8	28
-45	4	-41	-50	25	44
17	-19	-36	6	-37	-28
-2	27	-6	-23	-3	-49
23	0	-39	36	-41	39
20	-41	22	-18	-5	9
30	0	14	20	15	-16
24	-50	28	-26	-12	25
44	15	19	-2	-41	19
46	-1	40	63	11	28
29	38	-44	-39	-41	42
-41	-22	-32	-27	-42	12
19	41	-33	-37	-46	20
-44	-45	-18	-47	45	48
-28	-35	-16	39	-36	-10
-42	-46	1	-34	5	-26
-14	49	27	39	48	-3
20	49	24	-26	-51	-30
40	14	46	-12	31	31
-36	6	-18	29	5	-31
0	-22	29	-4	-7	-6
39	42	-32	36	-10	24
28	32	17	44	-13	13
30	-32	5	-2	13	-36
-4	89	-18	-19	36	-26
0	-12	-20	37	47	-35
