44	39	-28	-20	21	-45
31	3	32	10	30	-4
-24	8	-14	25	-13	30
26	-35	1	49	36	-42
-1	-6	-16	-34	-19	6
25	-44	-6	-34	39	14
2	38	35	-33	-36	-66
-39	16	33	-22	-3	-3
35	12	-34	-10	33	1
-35	-28	-13	1	26	40
-24	-2	5	30	-24	20
44	-26	1	3	59	89
48	6	-8	-26	-39	34
5	45	23	39	46	4
4	-7	15	-35	-7	21
19	-15	-7	-8	-33	-1
-23	-17	40	-41	-26	-12
40	15	-35	39	-20	44
1	8	-38	37	32	-1
-24	-14	13	1	-38	-37
25	5	-23	-6	44	-16
-23	-37	46	-29	48	-36
-4	8	45	-16	-26	-48
39	-2	37	-28	-41	-22
17	4	-6	-29	40	37
37	7	33	-29	41	43
-50	-42	-32	-21	-14	0
32	17	-9	14	13	-5
39	-49	15	49	27	0
35	1	-7	-7	-49	-15
14	43	37	13	-23	15
21	-36	28	-31	35	-26
-40	8	42	-21	-15	-26
-18	45	30	5	-16	31
-30	-19	-44	-9	-16	-29
36	24	36	-24	36	0
41	-10	39	-30	-22	9
-31	-37	27	-33	-2	-35
3	27	48	22	-12	13
12	-35	2	28	-36	-9
-35	-21	-13	-27	-2	5
3	-4	-38	44	-2	-24
-2	23	-2	-22	4	25
-26	-46	-26	-32	-38	27
29	17	-14	-8	20	-17
17	-7	-45	43	23	-8
-13	-8	-40	-17	46	45
1	-7	-43	-50	49	2
-5	-41	32	36	32	-4
37	-27	21	25	32	49
40	-24	26	13	-7	-48
-15	-50	7	-6	-30	-24
3	-26	-17	-32	-37	-38
-8	20	7	3	-23	37
-49	48	46	47	0	-45
6	12	15	4	24	-4
1	44	-18	-41	34	-8
-24	14	-11	4	-31	25
0	25	20	-14	-2	19
-31	37	-15	-35	-47	-8
45	47	2	20	-41	-7
-9	-27	-29	29	-19	1
21	19	10	-7	32	45
49	-45	27	29	-1	-21
20	-44	-36	-1	-11	-23
18	40	-12	17	-44	22
48	-11	-6	45	-28	-27
6	37	-14	44	39	-10
1	49	-13	-36	14	-37
-9	-67	25	-7	-35	27
23	22	-34	46	-49	-43
-40	46	-35	-11	-43	36
3	30	-37	40	38	-32
13	47	-23	43	16	-4
-48	47	11	41	-8	-26
23	48	8	-26	18	42
22	4	6	2	14	3
33	5	12	-36	26	15
-32	5	49	-2	-13	-50
48	49	-32	-19	-1	21
-9	-5	-42	-24	24	14
-38	48	-3	31	0	-25
41	31	47	-35	16	26
-32	-3	13	-21	42	40
48	22	4	32	-4	15
6	7	-13	-4	14	39
32	-14	-22	-1	12	36
27	-25	9	-25	-9	-25
-10	-16	4	38	-3	11
16	17	-36	31	-6	24
38	2	9	87	-19	30
-47	-29	34	17	-33	-22
17	22	12	-36	-34	-3
-38	-20	40	-33	-11	-31
-29	19	-18	39	-26	34
-14	-24	15	40	-22	-36
45	-33	48	-38	33	-47
5	13	0	40	47	46
-98	2	-86	10	-41	40
46	41	-46	-15	-6	6
